car_model,price,year_model,kms,color,fueltype
Mazda 3 2.0 Touring,$57.000.000,2016,92.000,Azul,Gasolina
Mazda CX-5 2.5 Grand Touring Lx,$79.800.000,2016,82.000,Rojo,Gasolina
Mazda 3 GRAND TOURING,$68.900.000,2017,41.000,Plateado,Gasolina
Mazda 3 2.0 Grand Touring,$59.000.000,2015,77.000,Azul,Gasolina
Mazda CX-30 2.0  Touring MT,$95.000.000,2023,16.000,Blanco,Gasolina
Mazda 2 Grand Touring Lx Carbon 2.0 Modelo 2025,$97.500.000,2025,0,Blanco,Gasolina
Mazda cx-50 2.5 Grand Touring Awd,$179.750.000,2024,0,Blanco,Gasolina
Mazda cx-50 2.5 Grand Touring 4X2,$172.950.000,2024,0,Gris,Gasolina
Mazda 3 Touring  2000cc At Aa,$79.000.000,2020,34.870,Blanco,Gasolina
Mazda 3 2.0 Touring,$82.000.000,2020,30.500,Blanco,Gasolina
Mazda Cx-5 Touring 2.0 4x2 2025/mz 127/vf,$139.800.000,2025,0,Gris,Gasolina
Mazda 2 Sport Touring Automatico Ipm Cuero 2025,$85.350.000,2025,0,Gris,Gasolina
Mazda 6 2.5 Grand Touring Lx,$82.000.000,2017,59.300,Blanco,Gasolina
Mazda Cx-5 Grand Touring 4x4  Carbón Edition ,$165.900.000,2025,0,Rojo,Gasolina
Mazda 3 2.0 Touring,$52.000.000,2016,101.000,Gris,Gasolina
Mazda 2 Sedan Touring Automatico Paño Ipm 2025 ,$83.550.000,2025,0,Blanco,Gasolina
Mazda 3 Touring Automatico Hibrido 2025 New!!,$114.000.000,2025,0,Blanco,Híbrido
Mazda Cx-30 Touring Hibrida At 2025 Mz/127/vf,$126.000.000,2025,0,Rojo,Híbrido
Mazda 3 Grand Touring Lx Carbon Edition/ 170/ Lc,$130.950.000,2025,0,Blanco,Gasolina
Mazda 3 2.0 Sport Grand Touring,$66.900.000,2016,68.000,Azul,Gasolina
Benelli Trk 251,$16.990.000,2023,5.995,Gris,Gasolina
Mazda Miata 2.0 Mx-5 Sport Prht 167 hp,$76.900.000,2011,999.999,Gris,Gasolina
Mazda CX-30 2.0 Grand Touring At,$98.000.000,2021,19.000,Gris,Gasolina
Mazda 3 2.0 Sport Grand Touring Lx,$75.000.000,2019,64.000,Color not found,Gasolina
Mazda CX-9 2.5 Grand Touring Signature,$152.000.000,2022,40.000,Color not found,Gasolina
Mazda 6 2.5 Grand Touring Lx,$41.500.000,2015,92.000,Gris,Gasolina
Mazda CX-9 2.5 Grand Touring Signature,$133.900.000,2020,26.500,Blanco,Gasolina
Mazda 3 2.0 Touring,$89.990.000,2023,31.000,Rojo,Gasolina
Mazda CX-60 3.3 Grand Touring Signature Hibrido Ligero,$217.000.000,2024,10.700,Blanco,Híbrido
Mazda 6 2.5 Grand Touring Lx 185 hp,$100.000.000,2020,21.755,Plateado,Gasolina
Mazda 3 Grand Touring Lx Carbon Edition 2025,$130.450.000,2024,0,Gris,Gasolina
Mazda CX-30 2.5 Grand Touring Lx 4x4,$150.000.000,2025,0,Blanco,Gasolina
Mazda Cx30 Grand Touring Hibrida 2025 New!!,$130.950.000,2025,0,Plateado,Gasolina
Mazda CX-60 SIGNATURE,$240.600.000,2024,0,Rojo,Híbrido
Mazda Cx5 Grand Touring 4x2  2.5 Modelo 2025 New!!!,$159.200.000,2025,0,Blanco,Gasolina
Mazda cx-50 2.5 Grand Touring 4X2,$186.350.000,2025,0,Rojo,Gasolina
Mazda 3 Grand Touring Lx Carbon Edition,$134.400.000,2024,0,Blanco,Gasolina
Mazda CX-5 2.5 Grand Touring Lx Camioneta,$78.000.000,2020,61.591,Gris,Gasolina
Mazda 2 Sport Touring,$82.300.000,2024,0,Gris,Gasolina
Mazda 2 Hatchback Grand Touring,$86.150.000,2024,0,Rojo,Gasolina
Mazda CX-90 Grand Touring Signature,$282.600.000,2024,0,Rojo,Híbrido
Mazda CX-5 2.0 Touring Camioneta,$75.000.000,2017,73.000,Blanco,Gasolina
Mazda CX-60 SIGNATURE,$240.600.000,2024,0,Plateado,Híbrido
Mazda 2 Sport Grand Touring Lx Modelo 2025 Ipm Vi/yr,$90.850.000,2024,0,Blanco,Gasolina
Royal Enfield 401 Modelo 203 Perfecto Estado ,$16.900.000,2023,15.000,Gris,Gasolina
Mazda 3 2.0 CX3 TOURING AT,$75.000.000,2019,28.315,Gris,Gasolina
Mazda 2 1.5 Touring,$55.000.000,2018,51.570,Blanco,Gasolina
Mazda CX-30 2.0 Grand Touring Hybrid,$110.000.000,2023,17.000,Gris,Híbrido
Mazda CX-30 2.0 Touring,$76.990.000,2021,35.442,Blanco,Gasolina
Mazda CX-3 2.0 Grand Touring Lx At,$48.900.000,2019,55.000,Blanco,Gasolina
Mazda CX-5 2.5 Touring,$83.000.000,2018,90.000,Plateado,Gasolina
Mazda 3 2.0 Grand Touring Lx,$71.000.000,2021,36.000,Color not found,Gasolina
